"OBJECTID","DATATYPE","GENUSSPECI","DBH_IN","LU","CROWN_COMPACTNESS","HEIGHT_MAX","HEIGHT_MEAN","CROWN_AREA","HU_DENS","RELBORDER_TREE","NDVI_MAX","NDVI_MEAN","NDVI_STD","BLDG_AGE","IS_CLEANED_CROWN_AREA","IS_CLEANED_CROWN_COMPACTNESS","IS_CLEANED_DBH_IN","IS_CLEANED_HEIGHT_MAX","IS_CLEANED_HEIGHT_MEAN","IS_CLEANED_NDVI_MEAN","IS_CLEANED_NDVI_MAX"
237554,"Point","Tilia americana",9,13,1.28712871287128,24.7575073242187,12.9187374303836,631.247475008,3.06108,0.0869565217391304,0.41044774652,0.31678631177,0.03328628818,42,0,0,0,0,0,0,0
238136,"Point","Tilia cordata",13,13,1.39130434782608,19.4993896484375,10.0817419964334,287.498850003,3.06108,0,0.24489796162,0.10551672964,0.04001921171,42,0,0,0,0,0,0,0
238138,"Point","Tilia cordata",16,13,1.76517150396,31.3706054688,13.4594307851,NA,3.06108,0.243243243243,0.79439252615,0.34875981166,0.13192416984,42,0,0,0,0,0,0,0
238139,"Point","Tilia cordata",18,13,1.49438202247191,30.1356201171875,14.1007316675079,1112.49555001,3.06108,0.192307692307692,0.69999998808,0.26987801059,0.10310454431,42,0,0,0,0,0,0,0
238391,"Point","Ulmus parvifolia",30,13,1.41818181818181,26.514404296875,14.0080096620501,1031.24587501,3.06108,0.323529411764705,0.60000002384,0.1304928112,0.0923758443,42,0,0,0,0,0,0,0
238023,"Point","Tilia cordata",16,13,1.28571428571428,8.4512939453125,1.83814348493303,43.749825000525,3.06108,0,0.31692308188,0.30869957805,0.00896372869,42,0,0,0,0,0,0,0
236028,"Point","Malus spp.",3,13,1.51351351351351,19.456298828125,9.6671802417652,231.249075003,3.06108,0.333333333333333,0.47126436234,0.31564243083,0.09589956638,42,0,0,0,0,0,0,0
236031,"Point","Malus spp.",7,13,1.33333333333333,20.8862915039062,11.3927849663628,562.497750007,6.20887,0.18,0.50753766298,0.23777393975,0.11446648752,40,0,0,0,0,0,0,0
236246,"Point","Picea pungens",13,7,1.5809836661041,14.5237426757812,8.91189814548866,637.497450008,6.20887,0,0.68965518475,0.3893400989,0.09657710984,40,0,0,0,0,0,0,0
237280,"Point","Quercus rubra",13,7,1.09890109890109,18.657470703125,9.39938589242788,568.747725007,6.20887,0,0.23987539113,0.12172601163,0.05001864784,40,0,0,0,0,0,0,0
